company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
鮑記大食部,荃灣,50000,32000,310000,140,"22.368857,114.1219284",5,0,17,7,20,6,3,5,5,1,4,47,,3,98,20,91,62,28,147,230,27
捲餅兄弟,荃灣,46480,50000,190000,200,"22.3723863,114.1155154",1,0,19,20,20,10,0,2,3,1,9,140,,48,124,2,21,,178,158,264,38
明記小食,西貢,13050,26300,200000,230,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
湟湟美食店,香港仔,30500,59500,150000,170,"22.249053,114.155304",7,0,20,11,20,14,0,3,6,0,6,51,,30,113,11,47,,159,29,,90
地道風味,太子,0,48000,120000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
涼茶隅,鰂魚涌,0,12000,160000,250,"22.2846628,114.2120807",6,0,18,4,20,5,0,1,2,0,6,111,,5,179,16,55,,134,23,,41
768街頭小食,屯門,24450,13000,200000,300,"22.4073997,113.9696403",5,0,6,7,20,3,0,0,4,0,5,37,,146,115,32,164,,,73,,37
誠記小籠包拉麵台式飲品糖水,深水埗,-15000,12000,100000,300,"22.328343,114.1596571",5,0,10,7,20,5,0,1,2,0,6,72,,89,8,0,149,,32,146,,142
小食部,葵涌,47500,13000,120000,110,"22.3676516,114.1399273",8,0,11,3,20,3,0,1,1,0,3,31,,10,144,0,21,,306,185,,110
極上魂燒烤,屯門,33850,16000,220000,300,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
沙田愉翠街市小食店,沙田,0,38000,60000,160,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Frozen Fruit ,上水,31300,14200,200000,190,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
鼎鼎茶,元朗,30000,25000,150000,100,"22.4424946,114.03246",5,0,7,5,20,3,0,3,5,0,1,238,,48,109,15,65,,148,31,,48
粿然好味,太子,44105,26800,200000,200,"22.3266263,114.1672746",3,0,12,20,20,10,1,4,5,1,6,204,,73,48,63,112,161,51,98,120,75
街頭食王,旺角,64900,180000,400000,130,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
